Product / Variation title,SKU,Items sold,N. Revenue,Orders,Status,Stock
LIP BOOSTER - WATERMELON,00597,2590,63270.9,2299,In stock,11
LIP BOOSTER - STRAWBERRY,00602,2563,63768.9,2280,In stock,134
COLLAGEN SERUM FOUNDATION ALHA ALFA - MEDIUM,00608,1067,7435.1,1005,In stock,33
COLLAGEN SERUM FOUNDATION ALHA ALFA - LIGHT,00607,728,7135.7,690,In stock,41
LIP BOOSTER - MELON,00610,651,16209.9,587,In stock,177
ROYAL PROPOLIS POWDER FOUNDATION - AA30 NATURAL BEIGE,00431,274,13717.1,259,In stock,22
ROYAL PROPOLIS POWDER FOUNDATION - AA20 MEDIUM LIGHT,00430,220,8266.2,210,In stock,4
LIP BOOSTER - CHERRY,00635,200,4980.0,181,Out of stock,0
SUPER STAY FIXING POWDER - TRANSLUCENT,00565,160,4911.8,157,Out of stock,0
ROYAL PROPOLIS POWDER FOUNDATION - HD - HIGH DEFINITION OIL FREE POWDER,00428,130,7307.8,92,Out of stock,0
LONG LASTING MAKEUP SETTING SPRAY - REAL MATTE,00523,127,7247.9,125,In stock,88
ROYAL PROPOLIS FOUNDATION SPF 45 - LIGHT MEDIUM,00579,110,3844.5,104,In stock,19
ROYAL PROPOLIS FOUNDATION SPF 45 - HONEY,00580,95,5522.1,93,In stock,21
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL,00581,94,3355.2,89,In stock,6
ROYAL PROPOLIS POWDER FOUNDATION - AA10 LIGHT,00429,82,4252.9,81,In stock,68
MASCARA - Doll Eye,00623,72,698.6,72,In stock,28
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF40 FERVI,00572,66,3953.4,65,In stock,36
SUPER STAY FIXING POWDER - MINI - TRANSLUCENT,00587,65,1057.4,58,In stock,45
COLLAGEN SERUM FOUNDATION ALHA ALFA - DARK,00609,57,299.4,53,In stock,97
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF30 BLUEBELL,00571,54,3174.7,51,In stock,36
ALHA ALFA SUNSCREEN &amp; FOUNDATION - FAIR,00506,53,2644.7,52,Out of stock,0
LONG LASTING MAKEUP SETTING SPRAY - REAL GLOW,00522,48,2875.2,48,In stock,83
MASCARA - Dimensional,00624,44,199.6,44,In stock,56
ROYAL PROPOLIS FOUNDATION SPF 45 - LIGHT,00578,43,1887.3,42,In stock,67
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF50 FICUS,00573,39,2336.1,39,In stock,11
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF20 AURI,00570,39,2336.1,39,In stock,51
ALHA ALFA FOGGY LIPS - JULIET,00590,34,358.8,33,Out of stock,0
SUPER STAY FIXING POWDER - PINK,00564,34,1198.0,33,Out of stock,0
ALHA ALFA SUNSCREEN &amp; FOUNDATION - LIGHT,00505,31,1546.9,29,Out of stock,0
SUPER STAY FIXING POWDER - BROWN,00566,31,1138.1,31,In stock,84
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF60 EDEL,00574,29,1737.1,29,In stock,21
CUSHION GLOW BLUSHER - ZINNIA,9551012110016,29,1450.0,27,Out of stock,0
ALHA ALFA FOGGY LIPS - CARNATION,00589,29,388.7,25,In stock,42
POCKET CAMOUFLAGE CREAM - AAP30,00561,28,1347.3,26,Out of stock,0
ROYAL PROPOLIS FOUNDATION SPF 45 - FAIR,00577,27,1258.2,24,In stock,37
POCKET CAMOUFLAGE CREAM - AAP20,00560,23,1047.9,22,Out of stock,0
GLOW SKIN TINTED HIDRATOR - MEDIUM,00449,22,0.0,14,Out of stock,0
ALHA ALFA BE YOU MATTE FOUNDATION - M40 NATURAL,00535,22,987.8,20,Out of stock,0
GLOW SKIN TINTED HIDRATOR - LIGHT,00448,22,69.9,14,Out of stock,0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF10 ACACIA,00569,21,1257.9,21,In stock,49
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - AURI,00592,19,119.7,15,In stock,1
